Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2019-11-02;9259.78;9377.49;9249.59;9324.72;21242676385;0.006869;9318.097796;8557.085124;8783.350693;9090.649136;0.03848;0.010113;0.0;Bull;1;0.53;📈 Up;9345.8;10124.45;617.3;9407.48;12191.53;-0.901;-0.106
2019-11-03;9324.79;9379.81;9141.25;9235.35;21132220847;-0.009583;9272.90346;8600.625535;8760.896807;9110.566218;0.038515;-0.032649;0.0;Bull;1;0.541;📈 Up;9236.51;10071.18;617.4;9275.43;11910.51;-0.783;-0.754
2019-11-04;9235.61;9505.05;9191.49;9412.61;26170255634;0.019193;9295.255441;8650.050572;8742.194795;9131.137351;0.038543;0.017488;0.0;Bull;1;0.519;📈 Up;9456.46;10622.7;615.8;9590.44;13408.21;-0.951;0.197
2019-11-05;9413.0;9457.42;9256.93;9342.53;26198609048;-0.007446;9283.089704;8704.200963;8723.509463;9151.330925;0.038323;-0.008491;0.0;Bull;1;0.538;📈 Up;9354.84;10488.79;617.4;9491.71;13130.52;-0.826;-0.532
2019-11-06;9340.86;9423.24;9305.91;9360.88;23133895765;0.001964;9305.254464;8766.741583;8705.901611;9171.445894;0.038004;0.017017;0.0;Bull;1;0.535;📈 Up;9385.6;10366.54;615.4;9536.11;12638.76;-0.89;-0.153
2019-11-07;9352.39;9368.48;9202.35;9267.56;22700383839;-0.009969;9314.965402;8822.153506;8687.287881;9191.211045;0.038081;0.007716;0.0;Bull;1;0.544;📈 Up;9274.85;10265.85;617.4;9432.53;12416.51;-0.841;-0.462
2019-11-08;9265.37;9272.76;8775.53;8804.88;24333037836;-0.049925;9249.790597;8861.756999;8658.057197;9208.238623;0.038568;-0.048896;0.0;Bull;1;0.571;📈 Up;8804.77;9984.2;617.4;8961.99;12154.1;-0.639;-1.689
2019-11-09;8809.47;8891.82;8793.16;8813.58;17578630606;0.000988;9176.771205;8901.043736;8630.696006;9224.444722;0.038565;-0.054777;0.0;Bull;1;0.536;📈 Up;8837.21;9601.3;617.48;8917.72;10631.52;-0.779;-0.703
2019-11-10;8812.49;9103.83;8806.16;9055.53;20587919881;0.027451;9151.081473;8940.731748;8611.412197;9242.39802;0.038345;-0.017742;0.0;Bull;1;0.516;📈 Up;9105.29;10148.58;617.26;9248.95;11792.05;-0.914;0.105
2019-11-11;9056.92;9081.28;8700.61;8757.79;20265510765;-0.032879;9057.535156;8965.211147;8585.160107;9260.134382;0.038916;-0.069815;0.0;Bull;1;0.559;📈 Up;8760.17;9815.11;617.4;8908.2;11202.87;-0.661;-1.5
2019-11-12;8759.75;8853.77;8685.43;8815.66;20309769107;0.006608;8982.268694;9000.328241;8566.886865;9277.815952;0.038915;-0.055761;0.0;Bull;1;0.53;📈 Up;8837.97;9868.27;617.26;8992.88;11265.0;-0.8;-0.598
2019-11-13;8812.03;8836.84;8761.65;8808.26;17545755405;-0.000839;8903.323382;9061.927804;8570.640791;9295.515811;0.038914;-0.058564;0.0;Bull;1;0.537;📈 Up;8822.69;9711.42;617.48;8982.46;10668.87;-0.773;-0.769
2019-11-14;8811.94;8826.94;8692.55;8708.09;19084739975;-0.011372;8823.399554;9119.766183;8575.062822;9312.630588;0.03877;-0.059968;0.0;Bull;1;0.545;📈 Up;8725.29;9720.51;617.4;8926.65;10913.69;-0.736;-0.992
2019-11-15;8705.71;8730.87;8484.84;8491.99;21796856471;-0.024816;8778.701172;9111.732468;8582.523311;9328.853787;0.038892;-0.034859;0.0;Bull;1;0.556;📈 Up;8510.57;9644.12;617.4;8776.77;11431.41;-0.74;-1.079
2019-11-16;8491.17;8592.0;8473.97;8550.76;16495389808;0.00692;8741.155273;9078.674758;8588.501611;9344.853958;0.038891;-0.028927;0.0;Bull;1;0.535;📈 Up;8581.52;9420.74;617.26;8783.37;10436.59;-0.842;-0.394
2019-11-17;8549.47;8727.79;8500.97;8577.98;18668638897;0.003183;8672.933733;9032.306222;8595.142822;9360.730349;0.038732;-0.053195;0.0;Bull;1;0.535;📈 Up;8620.19;9602.88;617.26;8812.2;10860.78;-0.788;-0.648
2019-11-18;8573.98;8653.28;8273.57;8309.29;21579470673;-0.031323;8608.862026;8987.217541;8599.244834;9374.750361;0.03924;-0.051639;0.0;Bull;1;0.559;📈 Up;8326.79;9461.33;617.4;8568.08;11258.04;-0.698;-1.335
2019-11-19;8305.13;8408.52;8099.96;8206.15;21083613816;-0.012413;8521.788225;8929.048875;8597.490381;9386.939641;0.03898;-0.07066;0.0;Bull;1;0.544;📈 Up;8223.42;9288.2;617.4;8416.11;10943.2;-0.717;-1.092
2019-11-20;8203.61;8237.24;8010.51;8027.27;20764300437;-0.021798;8410.217564;8872.931803;8591.170215;9397.920144;0.039192;-0.091619;0.0;Bull;1;0.55;📈 Up;8035.82;9036.37;617.4;8210.91;10584.67;-0.659;-1.437
2019-11-21;8023.64;8110.1;7597.38;7642.75;22514243371;-0.047901;8258.02546;8798.796805;8576.164375;9407.155352;0.04;-0.128148;0.0;Bull;1;0.567;📈 Up;7640.93;8802.19;617.4;7814.45;10544.05;-0.536;-2.237
2019-11-22;7643.57;7697.38;6936.71;7296.58;34242315785;-0.045294;8087.251953;8705.247907;8556.896084;9414.904204;0.038782;-0.148626;0.0;Bull;1;0.559;📈 Up;7258.41;8987.56;617.4;7478.22;12520.57;-0.489;-2.33
2019-11-23;7296.16;7442.26;7151.42;7397.8;21008924418;0.013872;7922.542829;8613.489769;8540.733232;9422.745681;0.038865;-0.141675;0.0;Bull;1;0.521;📈 Up;7413.92;8376.59;617.26;7497.5;9925.55;-0.676;-1.084
2019-11-24;7398.63;7408.58;7029.29;7047.92;30433517289;-0.047295;7703.96303;8509.326079;8518.661562;9428.072979;0.026595;-0.192153;0.0;Bull;1;0.569;📈 Up;7013.97;8069.02;618.6;7078.4;11175.84;-0.197;-2.643
2019-11-25;7039.98;7319.86;6617.17;7146.13;42685231262;0.013936;7537.79841;8401.398531;8501.821123;9432.931003;0.023016;-0.146894;0.0;Bull;1;0.521;📈 Up;7152.48;8839.74;619.6;7284.9;14136.44;-0.389;-1.058
2019-11-26;7145.16;7320.23;7098.57;7218.37;21129505542;0.010109;7396.687779;8300.248233;8481.276084;9437.128613;0.021943;-0.124373;0.0;Bull;1;0.537;📈 Up;7229.13;7677.89;619.6;7217.26;9926.85;-0.396;-0.966
2019-11-27;7220.88;7619.69;6974.17;7531.66;23991412764;0.043402;7325.887137;8213.142694;8467.333691;9438.763074;0.023527;-0.059172;0.0;Bull;1;0.512;📈 Up;7564.37;8383.6;619.6;7624.8;11425.11;-0.63;0.181
2019-11-28;7536.82;7730.07;7454.12;7463.11;19050116751;-0.009103;7300.223703;8127.216239;8444.681006;9441.216746;0.023046;-0.020374;0.0;Bull;1;0.557;📈 Up;7484.42;7882.18;618.6;7588.73;10442.68;-0.532;-0.592
2019-11-29;7466.73;7781.18;7460.76;7761.24;19709695456;0.039948;7366.604562;8077.519229;8428.176406;9440.948389;0.024398;0.064869;0.0;Bull;1;0.523;📈 Up;7810.87;8322.89;625.48;7972.93;11357.6;-0.84;1.021
2019-11-30;7764.06;7836.1;7515.85;7569.63;17158194786;-0.024689;7391.152134;8018.283412;8413.133867;9438.824458;0.024631;0.026308;0.0;Bull;1;0.571;📈 Up;7555.98;7888.78;625.11;7688.57;10428.81;-0.592;-0.57
2019-12-01;7571.62;7571.62;7291.34;7424.29;18720708479;-0.0192;7444.920061;7940.605608;8394.888604;9434.920081;0.024618;0.054403;0.0;Bull;1;0.567;📈 Up;7393.17;7733.75;625.39;7538.46;10685.94;-0.654;-0.252
2019-12-02;7424.04;7474.82;7233.4;7321.99;17082040706;-0.01378;7470.042132;7872.234189;8374.908252;9432.105476;0.024504;0.026688;0.0;Bull;1;0.563;📈 Up;7302.23;7527.96;625.11;7382.09;10104.22;-0.623;-0.346
2019-12-03;7323.98;7418.86;7229.36;7320.15;14797485769;-0.000252;7484.581334;7801.019113;8353.817432;9431.986726;0.024538;0.016328;0.0;Bull;1;0.553;📈 Up;7313.12;7404.98;618.66;7337.24;9588.35;-0.647;-0.15
2019-12-04;7320.12;7539.78;7170.92;7252.03;21664240918;-0.009305;7444.634347;7726.913016;8334.750742;9431.890859;0.024019;-0.036379;0.0;Bull;1;0.553;📈 Up;7263.3;7736.01;618.6;7278.51;10721.78;-0.524;-0.719
2019-12-05;7253.24;7743.43;7232.68;7448.31;18816085231;0.027065;7442.520299;7666.923154;8322.766357;9428.14395;0.024876;-0.000212;0.0;Bull;1;0.528;📈 Up;7518.57;7963.78;619.6;7525.86;10687.0;-0.706;0.279
2019-12-06;7450.56;7547.0;7392.18;7547.0;18104466307;0.01325;7411.913574;7621.923363;8311.628066;9425.987388;0.025104;-0.02691;0.0;Bull;1;0.536;📈 Up;7540.07;7814.38;619.6;7506.94;10283.28;-0.626;-0.198
2019-12-07;7547.27;7589.95;7525.71;7556.24;15453520564;0.001224;7410.000419;7574.565127;8303.288672;9423.951938;0.025139;-0.000997;0.0;Bull;1;0.548;📈 Up;7544.61;7642.27;618.68;7523.8;9874.75;-0.634;-0.25
2019-12-08;7551.34;7634.61;7476.09;7564.35;15409908086;0.001073;7430.007952;7526.297015;8294.804365;9423.373333;0.023787;0.019276;0.0;Bull;1;0.55;📈 Up;7550.79;7628.94;622.15;7531.25;10020.93;-0.644;-0.098
2019-12-09;7561.8;7618.09;7365.99;7400.9;17872021272;-0.021607;7441.280971;7483.040504;8278.380791;9420.968596;0.023956;0.011448;0.0;Bull;1;0.566;📈 Up;7376.24;7578.65;618.64;7377.31;10343.83;-0.568;-0.615
2019-12-10;7397.13;7424.02;7246.04;7278.12;18249031195;-0.01659;7435.277274;7438.848796;8259.06877;9417.422336;0.023203;-0.00489;0.0;Bull;1;0.562;📈 Up;7248.33;7401.17;618.6;7214.07;10163.05;-0.543;-0.631
2019-12-11;7277.2;7324.16;7195.53;7217.43;16350490689;-0.008339;7430.333357;7400.284947;8241.853252;9413.246753;0.022686;-0.003924;0.0;Bull;1;0.557;📈 Up;7195.57;7217.37;618.6;7131.2;9716.38;-0.56;-0.455
2019-12-12;7216.74;7266.64;7164.74;7243.13;18927080224;0.003562;7401.022879;7381.255627;8236.4225;9406.096345;0.022633;-0.027427;0.0;Bull;1;0.545;📈 Up;7224.28;7367.74;619.57;7140.62;10118.6;-0.555;-0.388
2019-12-13;7244.66;7293.56;7227.12;7269.68;17125736940;0.003666;7361.406878;7379.975005;8231.946416;9398.415876;0.022685;-0.037011;0.0;Bull;1;0.545;📈 Up;7253.05;7311.95;619.6;7150.67;9739.46;-0.541;-0.457
