Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2020-11-10,15332.35,15450.33,15124.96,15290.9,25574938143,-0.0027,15173.71,13956.21,12241.05,10572.08,0.0286,0.0989
2020-11-11,15290.91,15916.26,15290.01,15701.34,29772374934,0.0268,15397.66,14093.24,12344.31,10612.74,0.0287,0.1126
2020-11-12,15701.3,16305.0,15534.77,16276.34,34175758344,0.0366,15497.16,14250.88,12464.91,10655.72,0.0288,0.0469
2020-11-13,16276.44,16463.18,15992.15,16317.81,31599492172,0.0025,15604.58,14412.13,12576.06,10698.33,0.0288,0.0503
2020-11-14,16317.81,16317.81,15749.19,16068.14,27481710135,-0.0153,15780.92,14553.09,12683.57,10739.64,0.0292,0.082
2020-11-15,16068.14,16123.11,15793.53,15955.59,23653867583,-0.007,15848.92,14692.35,12787.67,10775.41,0.029,0.0315
2020-11-16,15955.58,16816.18,15880.71,16716.11,31526766675,0.0477,16046.6,14865.72,12906.49,10815.7,0.0296,0.0887
2020-11-17,16685.69,17782.92,16564.54,17645.41,39006849170,0.0556,16382.96,15055.78,13045.2,10859.6,0.0306,0.147
2020-11-18,17645.19,18393.95,17352.91,17804.01,49064800278,0.009,16683.34,15271.62,13184.39,10903.68,0.0306,0.1291
2020-11-19,17803.86,18119.55,17382.55,17817.09,36985055355,0.0007,16903.45,15480.15,13325.04,10948.28,0.0307,0.0932
2020-11-20,17817.08,18773.23,17765.79,18621.31,36992873940,0.0451,17232.52,15721.81,13485.08,10996.82,0.029,0.1358
2020-11-21,18621.32,18936.62,18444.36,18642.23,39650210707,0.0011,17600.25,15953.3,13646.4,11045.01,0.0291,0.1522
2020-11-22,18642.23,18688.97,17671.38,18370.0,41280434226,-0.0146,17945.17,16173.91,13802.82,11090.52,0.0294,0.1446
2020-11-23,18370.02,18711.43,18000.8,18364.12,42741112308,-0.0003,18180.6,16403.13,13956.71,11132.58,0.0295,0.0967
2020-11-24,18365.02,19348.27,18128.66,19107.46,51469565009,0.0405,18389.46,16648.71,14122.99,11178.91,0.0297,0.0815
2020-11-25,19104.41,19390.96,18581.15,18732.12,43710357371,-0.0196,18522.05,16867.68,14285.54,11224.6,0.0303,0.0529
2020-11-26,18729.84,18866.29,16351.04,17150.62,61396835737,-0.0844,18426.84,16942.48,14415.18,11266.57,0.0344,-0.0323
2020-11-27,17153.91,17445.02,16526.42,17108.4,38886494645,-0.0025,18210.71,17015.94,14539.03,11309.1,0.0338,-0.0799
2020-11-28,17112.93,17853.94,16910.65,17717.41,32601040734,0.0356,18078.59,17153.25,14672.09,11353.67,0.0342,-0.0454
2020-11-29,17719.63,18283.63,17559.12,18177.48,31133957704,0.026,18051.09,17281.73,14809.71,11398.21,0.0343,-0.0048
2020-11-30,18178.32,19749.26,18178.32,19625.84,47728480399,0.0797,18231.34,17486.18,14974.55,11447.67,0.0365,0.0752
2020-12-01,19633.77,19845.97,18321.92,18803.0,49633658712,-0.0419,18187.84,17653.42,15119.5,11495.04,0.0378,-0.0072
2020-12-02,18801.74,19308.33,18347.72,19201.09,37387697139,0.0212,18254.84,17820.08,15275.0,11544.16,0.0375,0.0336
2020-12-03,19205.93,19566.19,18925.79,19445.4,31930317405,0.0127,18582.66,17970.98,15435.32,11593.03,0.0374,0.1308
2020-12-04,19446.97,19511.4,18697.19,18699.77,33872388058,-0.0383,18810.0,18084.41,15579.41,11637.9,0.0385,0.0949
2020-12-05,18698.38,19160.45,18590.19,19154.23,27242455064,0.0243,19015.26,18231.37,15736.05,11685.03,0.0345,0.0836
2020-12-06,19154.18,19390.5,18897.89,19345.12,25293775714,0.01,19182.06,18392.77,15895.79,11734.14,0.0344,0.0676
2020-12-07,19343.13,19411.83,18931.14,19191.63,26896357742,-0.0079,19120.03,18510.65,16049.96,11784.69,0.033,-0.02
2020-12-08,19191.53,19283.48,18269.95,18321.14,31692288756,-0.0454,19051.2,18542.83,16181.54,11830.38,0.0338,-0.0235
2020-12-09,18320.88,18626.29,17935.55,18553.92,34420373071,0.0127,18958.74,18578.54,16314.29,11877.1,0.0337,-0.0319
2020-12-10,18553.3,18553.3,17957.06,18264.99,25547132265,-0.0156,18790.11,18599.87,16423.12,11924.47,0.0339,-0.0602
2020-12-11,18263.93,18268.45,17619.53,18058.9,27919640985,-0.0113,18698.56,18573.09,16524.98,11970.23,0.0338,-0.0332
2020-12-12,18051.32,18919.55,18046.04,18803.66,21752580802,0.0412,18648.48,18580.78,16642.42,12020.08,0.034,-0.0162
